run_accession	sample_accession	sample_alias
SRR12091644	SAMN15369454	GSM4637160
SRR12091646	SAMN15369452	GSM4637162
SRR12091652	SAMN15369446	GSM4637168
SRR12091654	SAMN15369444	GSM4637170
SRR12091641	SAMN15369457	GSM4637157
SRR12091642	SAMN15369456	GSM4637158
SRR12091649	SAMN15369449	GSM4637165
SRR12091651	SAMN15369447	GSM4637167
SRR12091655	SAMN15369443	GSM4637171
SRR12091643	SAMN15369455	GSM4637159
SRR12091645	SAMN15369453	GSM4637161
SRR12091647	SAMN15369451	GSM4637163
SRR12091648	SAMN15369450	GSM4637164
SRR12091650	SAMN15369448	GSM4637166
SRR12091653	SAMN15369445	GSM4637169
SRR12091656	SAMN15369442	GSM4637172
