SRR11784031	SRR11784026	SRR11784028	SRR11784030	SRR11784027	SRR11784029	SRR11784032
64102	5	43	14	31	11	14	3
8813	27	57	31	39	28	20	28
57147	63	119	59	76	65	96	28
2268	1	1	0	9	4	0	1
3075	1	3	1	0	2	4	0
2729	6	26	1	18	12	21	22
4800	0	7	13	19	16	16	9
81887	28	71	23	76	43	29	15
22875	2	3	12	10	6	1	0
6405	4	14	8	47	20	24	17
1080	22	20	35	22	41	64	22
1595	82	88	65	79	46	80	53
889	11	34	23	74	31	12	48
5893	14	34	43	51	17	23	15
572	14	35	15	24	20	19	34
51056	4	11	17	10	3	19	4
9957	13	35	11	27	19	23	17
26	17	76	84	69	107	129	41
51384	1	6	3	1	1	2	3
23072	5	17	14	29	21	32	17
8379	5	1	4	8	6	0	3
29916	13	20	35	33	13	20	25
55365	17	32	30	46	51	41	67
4074	27	92	31	67	42	65	22
56603	3	4	9	5	4	1	0
3382	5	1	6	12	10	9	16
79007	28	43	28	52	26	20	35
843	0	1	7	10	2	6	5
8837	45	129	164	282	119	150	157
7035	53	44	66	75	87	30	19
10181	22	28	18	49	25	38	30
6542	2	7	4	7	12	6	5
381	2	8	5	13	9	5	16
23098	214	445	267	390	330	297	231
26073	53	68	54	95	84	57	53
23129	26	42	38	72	63	44	43
204	14	27	36	90	43	62	42
952	1	0	2	2	9	3	0
2288	77	213	157	181	104	107	140
10180	17	62	49	116	22	81	55
5965	64	132	130	83	97	134	48
126393	6	36	10	24	25	21	24
4706	8	7	9	3	4	6	1
5166	4	19	39	32	15	29	162
51364	1	20	4	9	9	4	7
10165	1	7	9	17	5	11	6
7982	7	5	10	12	9	7	6
996	3	3	4	12	7	6	5
799	0	1	0	1	0	2	2
3052	0	0	0	0	4	5	4
1856	1	12	14	16	14	7	17
64063	1	1	1	5	1	7	2
5976	23	31	35	93	39	44	89
8935	2	11	8	24	12	9	8
292	5	12	12	25	26	21	15
55013	11	51	20	29	16	28	7
3207	5	2	3	9	8	0	3
5439	3	12	13	8	4	12	16
4222	0	3	2	2	1	1	0
221981	12	44	47	55	39	65	75
3980	57	344	209	219	155	178	78
6296	55	85	61	45	81	64	24
81691	4	8	7	15	4	9	4
57019	0	6	4	4	5	1	2
56928	10	25	16	51	32	29	41
80256	1	10	8	10	2	3	7
51226	1	2	2	7	2	1	4
5577	0	12	10	11	3	11	8
1387	54	84	99	250	102	142	229
9256	32	85	64	110	57	60	104
4353	0	0	0	0	0	0	0
5444	11	10	12	7	8	10	3
54677	3	14	3	7	6	7	1
5244	7	22	15	8	7	7	7
25998	2	9	8	10	6	6	6
7748	19	12	42	45	17	12	14
23077	39	110	67	86	87	113	76
3683	7	35	21	45	32	27	6
5164	9	22	27	48	39	47	49
3675	7	31	37	81	52	54	82
7543	1	9	26	36	21	16	40
3920	2	19	12	33	27	16	11
3674	0	0	2	1	0	0	1
51666	0	0	0	0	0	0	2
9244	30	26	36	41	31	24	16
51087	7	41	5	9	13	10	10
3883	0	0	0	1	0	0	0
9020	5	18	13	23	16	21	19
6833	0	0	0	1	2	2	1
10368	0	0	0	0	0	0	0
163	10	49	32	67	64	46	32
6863	0	0	0	1	0	0	3
10127	100	198	111	98	107	179	74
